date,number,state
2017-09-15,132,GA
2017-09-15,118,GA
2017-09-15,786,GA
2017-09-16,946,GA
2017-09-16,546,GA
2017-09-16,913,GA
2017-09-17,866,GA
2017-09-17,145,GA
2017-09-17,773,GA
2017-09-18,533,GA
2017-09-18,583,GA
2017-09-18,850,GA
2017-09-19,872,GA
2017-09-19,283,GA
2017-09-19,592,GA
2017-09-20,811,GA
2017-09-20,511,GA
2017-09-20,778,GA
2017-09-21,669,GA
2017-09-21,799,GA
2017-09-21,318,GA
2017-09-22,574,GA
2017-09-22,496,GA
2017-09-22,022,GA
2017-09-23,982,GA
2017-09-23,493,GA
2017-09-23,288,GA
2017-09-24,660,GA
2017-09-24,648,GA
2017-09-24,154,GA
2017-09-25,396,GA
2017-09-25,526,GA
2017-09-25,408,GA
2017-09-26,782,GA
2017-09-26,161,GA
2017-09-26,241,GA
2017-09-27,132,GA
2017-09-27,820,GA
2017-09-27,281,GA
2017-09-28,287,GA
2017-09-28,269,GA
2017-09-28,995,GA
2017-09-29,835,GA
2017-09-29,657,GA
2017-09-29,044,GA
2017-09-30,537,GA
2017-09-30,157,GA
2017-09-30,370,GA
2017-10-01,949,GA
2017-10-01,770,GA
2017-10-01,901,GA
2017-10-02,625,GA
2017-10-02,896,GA
2017-10-02,104,GA
2017-10-03,443,GA
2017-10-03,005,GA
2017-10-03,793,GA
2017-10-04,682,GA
2017-10-04,936,GA
2017-10-04,610,GA
2017-10-05,917,GA
2017-10-05,454,GA
2017-10-05,908,GA
2017-10-06,579,GA
2017-10-06,853,GA
2017-10-06,314,GA
2017-10-07,347,GA
2017-10-07,713,GA
2017-10-07,999,GA
2017-10-08,029,GA
2017-10-08,531,GA
2017-10-08,820,GA
2017-10-09,525,GA
2017-10-09,524,GA
2017-10-09,559,GA
2017-10-10,832,GA
2017-10-10,528,GA
2017-10-10,627,GA
2017-10-11,068,GA
2017-10-11,156,GA
2017-10-11,903,GA
2017-10-12,624,GA
2017-10-12,575,GA
2017-10-12,987,GA
2017-10-13,173,GA
2017-10-13,459,GA
2017-10-13,367,GA
2017-10-14,350,GA
2017-10-14,996,GA
2017-10-14,633,GA
2017-10-15,950,GA
2017-10-15,744,GA
2017-10-15,019,GA
2017-10-16,870,GA
2017-10-16,621,GA
2017-10-16,303,GA
2017-10-17,943,GA
2017-10-17,247,GA
2017-10-17,814,GA
2017-10-18,232,GA
2017-10-18,274,GA
2017-10-18,728,GA
2017-10-19,275,GA
2017-10-19,529,GA
2017-10-19,475,GA
2017-10-20,234,GA
2017-10-20,935,GA
2017-10-20,373,GA
2017-10-21,244,GA
2017-10-21,316,GA
2017-10-21,802,GA
2017-10-22,675,GA
2017-10-22,044,GA
2017-10-22,675,GA
2017-10-23,566,GA
2017-10-23,984,GA
2017-10-23,125,GA
2017-10-24,531,GA
2017-10-24,791,GA
2017-10-24,940,GA
2017-10-25,687,GA
2017-10-25,957,GA
2017-10-25,414,GA
2017-10-26,183,GA
2017-10-26,958,GA
2017-10-26,333,GA
2017-10-27,671,GA
2017-10-27,662,GA
2017-10-27,266,GA
2017-10-28,077,GA
2017-10-28,174,GA
2017-10-28,753,GA
2017-10-29,459,GA
2017-10-29,896,GA
2017-10-29,187,GA
2017-10-30,629,GA
2017-10-30,503,GA
2017-10-30,226,GA
2017-10-31,073,GA
2017-10-31,950,GA
2017-10-31,072,GA
2017-11-01,189,GA
2017-11-01,497,GA
2017-11-01,530,GA
2017-11-02,448,GA
2017-11-02,781,GA
2017-11-02,951,GA
2017-11-03,842,GA
2017-11-03,802,GA
2017-11-03,656,GA
2017-11-04,934,GA
2017-11-04,850,GA
2017-11-04,574,GA
2017-11-05,500,GA
2017-11-05,066,GA
2017-11-05,543,GA
2017-11-06,457,GA
2017-11-06,179,GA
2017-11-06,504,GA
2017-11-07,871,GA
2017-11-07,156,GA
2017-11-07,190,GA
2017-11-08,626,GA
2017-11-08,782,GA
2017-11-08,751,GA
2017-11-09,870,GA
2017-11-09,054,GA
2017-11-09,237,GA
2017-11-10,732,GA
2017-11-10,568,GA
2017-11-10,435,GA
2017-11-11,010,GA
2017-11-11,171,GA
2017-11-11,798,GA
2017-11-12,262,GA
2017-11-12,069,GA
2017-11-12,301,GA
2017-11-13,918,GA
2017-11-13,170,GA
2017-11-13,606,GA
2017-11-14,193,GA
2017-11-14,275,GA
2017-11-14,551,GA
2017-11-15,226,GA
2017-11-15,651,GA
2017-11-15,686,GA
2017-11-16,096,GA
2017-11-16,817,GA
2017-11-16,851,GA
2017-11-17,647,GA
2017-11-17,779,GA
2017-11-17,910,GA
2017-11-18,823,GA
2017-11-18,749,GA
2017-11-18,710,GA
2017-11-19,435,GA
2017-11-19,830,GA
2017-11-19,377,GA
2017-11-20,407,GA
2017-11-20,139,GA
2017-11-20,293,GA
2017-11-21,869,GA
2017-11-21,806,GA
2017-11-21,390,GA
2017-11-22,798,GA
2017-11-22,143,GA
2017-11-22,639,GA
2017-11-23,579,GA
2017-11-23,857,GA
2017-11-23,133,GA
2017-11-24,087,GA
2017-11-24,759,GA
2017-11-24,248,GA
2017-11-25,557,GA
2017-11-25,878,GA
2017-11-25,194,GA
2017-11-26,128,GA
2017-11-26,458,GA
2017-11-26,989,GA
2017-11-27,758,GA
2017-11-27,723,GA
2017-11-27,017,GA
2017-11-28,024,GA
2017-11-28,753,GA
2017-11-28,138,GA
2017-11-29,695,GA
2017-11-29,905,GA
2017-11-29,714,GA
2017-11-30,926,GA
2017-11-30,093,GA
2017-11-30,187,GA
2017-12-01,332,GA
2017-12-01,513,GA
2017-12-01,775,GA
2017-12-02,527,GA
2017-12-02,951,GA
2017-12-02,697,GA
2017-12-03,065,GA
2017-12-03,704,GA
2017-12-03,875,GA
2017-12-04,444,GA
2017-12-04,809,GA
2017-12-04,185,GA
2017-12-05,929,GA
2017-12-05,485,GA
2017-12-05,765,GA
2017-12-06,555,GA
2017-12-06,416,GA
2017-12-06,955,GA
2017-12-07,606,GA
2017-12-07,984,GA
2017-12-07,066,GA
2017-12-08,164,GA
2017-12-08,223,GA
2017-12-08,160,GA
2017-12-09,950,GA
2017-12-09,756,GA
2017-12-09,355,GA
2017-12-10,558,GA
2017-12-10,351,GA
2017-12-10,608,GA
2017-12-11,343,GA
2017-12-11,030,GA
2017-12-11,953,GA
2017-12-12,157,GA
2017-12-12,861,GA
2017-12-12,259,GA
2017-12-13,842,GA
2017-12-13,183,GA
2017-12-13,383,GA
2017-12-14,050,GA
2017-12-14,668,GA
2017-12-14,717,GA
2017-12-15,997,GA
2017-12-15,708,GA
2017-12-15,187,GA
2017-12-16,200,GA
2017-12-16,266,GA
2017-12-16,155,GA
2017-12-17,538,GA
2017-12-17,845,GA
2017-12-17,805,GA
2017-12-18,609,GA
2017-12-18,271,GA
2017-12-18,861,GA
2017-12-19,392,GA
2017-12-19,116,GA
2017-12-19,068,GA
2017-12-20,526,GA
2017-12-20,369,GA
2017-12-20,160,GA
2017-12-21,462,GA
2017-12-21,382,GA
2017-12-21,097,GA
2017-12-22,633,GA
2017-12-22,919,GA
2017-12-22,792,GA
2017-12-23,505,GA
2017-12-23,328,GA
2017-12-23,030,GA
2017-12-24,276,GA
2017-12-24,599,GA
2017-12-24,074,GA
2017-12-25,534,GA
2017-12-25,528,GA
2017-12-25,450,GA
2017-12-26,569,GA
2017-12-26,788,GA
2017-12-26,759,GA
2017-12-27,526,GA
2017-12-27,274,GA
2017-12-27,115,GA
2017-12-28,697,GA
2017-12-28,341,GA
2017-12-28,823,GA
2017-12-29,524,GA
2017-12-29,185,GA
2017-12-29,809,GA
2017-12-30,430,GA
2017-12-30,086,GA
2017-12-30,468,GA
2017-12-31,778,GA
2017-12-31,857,GA
2017-12-31,497,GA
2018-01-01,325,GA
2018-01-01,670,GA
2018-01-01,497,GA
2018-01-02,831,GA
2018-01-02,840,GA
2018-01-02,074,GA
2018-01-03,768,GA
2018-01-03,639,GA
2018-01-03,925,GA
2018-01-04,296,GA
2018-01-04,115,GA
2018-01-04,612,GA
2018-01-05,505,GA
2018-01-05,415,GA
2018-01-05,887,GA
2018-01-06,319,GA
2018-01-06,889,GA
2018-01-06,059,GA
2018-01-07,316,GA
2018-01-07,942,GA
2018-01-07,587,GA
2018-01-08,966,GA
2018-01-08,061,GA
2018-01-08,368,GA
2018-01-09,338,GA
2018-01-09,615,GA
2018-01-09,533,GA
2018-01-10,608,GA
2018-01-10,803,GA
2018-01-10,668,GA
2018-01-11,590,GA
2018-01-11,471,GA
2018-01-11,056,GA
2018-01-12,558,GA
2018-01-12,530,GA
2018-01-12,808,GA
2018-01-13,037,GA
2018-01-13,786,GA
2018-01-13,117,GA
2018-01-14,078,GA
2018-01-14,171,GA
2018-01-14,075,GA
2018-01-15,496,GA
2018-01-15,062,GA
2018-01-15,266,GA
2018-01-16,677,GA
2018-01-16,805,GA
2018-01-16,412,GA
2018-01-17,072,GA
2018-01-17,283,GA
2018-01-17,848,GA
2018-01-18,983,GA
2018-01-18,737,GA
2018-01-18,095,GA
2018-01-19,637,GA
2018-01-19,285,GA
2018-01-19,012,GA
2018-01-20,945,GA
2018-01-20,607,GA
2018-01-20,918,GA
2018-01-21,306,GA
2018-01-21,032,GA
2018-01-21,587,GA
2018-01-22,127,GA
2018-01-22,909,GA
2018-01-22,725,GA
2018-01-23,549,GA
2018-01-23,415,GA
2018-01-23,079,GA
2018-01-24,020,GA
2018-01-24,116,GA
2018-01-24,510,GA
2018-01-25,335,GA
2018-01-25,384,GA
2018-01-25,002,GA
2018-01-26,573,GA
2018-01-26,054,GA
2018-01-26,880,GA
2018-01-27,376,GA
2018-01-27,006,GA
2018-01-27,914,GA
2018-01-28,805,GA
2018-01-28,208,GA
2018-01-28,703,GA
2018-01-29,727,GA
2018-01-29,415,GA
2018-01-29,509,GA
2018-01-30,741,GA
2018-01-30,464,GA
2018-01-30,851,GA
2018-01-31,308,GA
2018-01-31,247,GA
2018-01-31,461,GA
2018-02-01,004,GA
2018-02-01,364,GA
2018-02-01,742,GA
2018-02-02,011,GA
2018-02-02,031,GA
2018-02-02,358,GA
2018-02-03,221,GA
2018-02-03,980,GA
2018-02-03,553,GA
2018-02-04,340,GA
2018-02-04,556,GA
2018-02-04,714,GA
2018-02-05,588,GA
2018-02-05,344,GA
2018-02-05,563,GA
2018-02-06,548,GA
2018-02-06,223,GA
2018-02-06,338,GA
2018-02-07,229,GA
