id,draw_date,draw_time,numbers,sum_digits,root_sum,created_at
22773,2025-04-12,midday,341,8,8,2025-07-01 17:09:41
22774,2025-04-12,evening,663,15,6,2025-07-01 17:09:41
22771,2025-04-11,midday,832,13,4,2025-07-01 17:09:41
22772,2025-04-11,evening,518,14,5,2025-07-01 17:09:41
22769,2025-04-10,midday,327,12,3,2025-07-01 17:09:41
22770,2025-04-10,evening,954,18,9,2025-07-01 17:09:41
22767,2025-04-09,midday,214,7,7,2025-07-01 17:09:41
22768,2025-04-09,evening,030,3,3,2025-07-01 17:09:41
22766,2025-04-08,midday,332,8,8,2025-07-01 17:09:41
22765,2025-04-08,evening,259,16,7,2025-07-01 17:09:41
22763,2025-04-07,midday,309,12,3,2025-07-01 17:09:41
22764,2025-04-07,evening,475,16,7,2025-07-01 17:09:41
22762,2025-04-06,midday,706,13,4,2025-07-01 17:09:41
22761,2025-04-06,evening,447,15,6,2025-07-01 17:09:41
22760,2025-04-05,midday,219,12,3,2025-07-01 17:09:41
22759,2025-04-05,evening,970,16,7,2025-07-01 17:09:41
22758,2025-04-04,midday,725,14,5,2025-07-01 17:09:41
22757,2025-04-04,evening,461,11,2,2025-07-01 17:09:41
22755,2025-04-03,midday,725,14,5,2025-07-01 17:09:41
22756,2025-04-03,evening,646,16,7,2025-07-01 17:09:41
22753,2025-04-02,midday,946,19,1,2025-07-01 17:09:41
22754,2025-04-02,evening,274,13,4,2025-07-01 17:09:41
22751,2025-04-01,midday,006,6,6,2025-07-01 17:09:41
22752,2025-04-01,evening,315,9,9,2025-07-01 17:09:41
22750,2025-03-31,midday,730,10,1,2025-07-01 17:09:41
22749,2025-03-31,evening,767,20,2,2025-07-01 17:09:41
22747,2025-03-30,midday,461,11,2,2025-07-01 17:09:41
22748,2025-03-30,evening,749,20,2,2025-07-01 17:09:41
22745,2025-03-29,midday,101,2,2,2025-07-01 17:09:41
22746,2025-03-29,evening,841,13,4,2025-07-01 17:09:41
22743,2025-03-28,midday,414,9,9,2025-07-01 17:09:41
22744,2025-03-28,evening,943,16,7,2025-07-01 17:09:41
22741,2025-03-27,midday,233,8,8,2025-07-01 17:09:41
22742,2025-03-27,evening,636,15,6,2025-07-01 17:09:41
22740,2025-03-26,midday,262,10,1,2025-07-01 17:09:41
22739,2025-03-26,evening,230,5,5,2025-07-01 17:09:41
22737,2025-03-25,midday,314,8,8,2025-07-01 17:09:41
22738,2025-03-25,evening,778,22,4,2025-07-01 17:09:41
22735,2025-03-24,midday,841,13,4,2025-07-01 17:09:41
22736,2025-03-24,evening,741,12,3,2025-07-01 17:09:41
22734,2025-03-23,midday,234,9,9,2025-07-01 17:09:41
22733,2025-03-23,evening,452,11,2,2025-07-01 17:09:41
22731,2025-03-22,midday,657,18,9,2025-07-01 17:09:41
22732,2025-03-22,evening,458,17,8,2025-07-01 17:09:41
22730,2025-03-21,midday,351,9,9,2025-07-01 17:09:41
22729,2025-03-21,evening,891,18,9,2025-07-01 17:09:41
22728,2025-03-20,midday,102,3,3,2025-07-01 17:09:41
22727,2025-03-20,evening,891,18,9,2025-07-01 17:09:41
22725,2025-03-19,midday,959,23,5,2025-07-01 17:09:41
22726,2025-03-19,evening,293,14,5,2025-07-01 17:09:41
22723,2025-03-18,midday,137,11,2,2025-07-01 17:09:41
22724,2025-03-18,evening,813,12,3,2025-07-01 17:09:41
22721,2025-03-17,midday,640,10,1,2025-07-01 17:09:41
22722,2025-03-17,evening,248,14,5,2025-07-01 17:09:41
22719,2025-03-16,midday,473,14,5,2025-07-01 17:09:41
22720,2025-03-16,evening,904,13,4,2025-07-01 17:09:41
22717,2025-03-15,midday,138,12,3,2025-07-01 17:09:41
22718,2025-03-15,evening,367,16,7,2025-07-01 17:09:41
22715,2025-03-14,midday,239,14,5,2025-07-01 17:09:41
22716,2025-03-14,evening,041,5,5,2025-07-01 17:09:41
22714,2025-03-13,midday,327,12,3,2025-07-01 17:09:41
22713,2025-03-13,evening,026,8,8,2025-07-01 17:09:41
22711,2025-03-12,midday,622,10,1,2025-07-01 17:09:41
22712,2025-03-12,evening,876,21,3,2025-07-01 17:09:41
22709,2025-03-11,midday,450,9,9,2025-07-01 17:09:41
22710,2025-03-11,evening,495,18,9,2025-07-01 17:09:41
22708,2025-03-10,midday,303,6,6,2025-07-01 17:09:41
22707,2025-03-10,evening,990,18,9,2025-07-01 17:09:41
22706,2025-03-09,midday,314,8,8,2025-07-01 17:09:41
22705,2025-03-09,evening,026,8,8,2025-07-01 17:09:41
22703,2025-03-08,midday,392,14,5,2025-07-01 17:09:41
22704,2025-03-08,evening,799,25,7,2025-07-01 17:09:41
22701,2025-03-07,midday,291,12,3,2025-07-01 17:09:41
22702,2025-03-07,evening,908,17,8,2025-07-01 17:09:41
22699,2025-03-06,midday,819,18,9,2025-07-01 17:09:41
22700,2025-03-06,evening,523,10,1,2025-07-01 17:09:41
22697,2025-03-05,midday,547,16,7,2025-07-01 17:09:41
22698,2025-03-05,evening,474,15,6,2025-07-01 17:09:41
22695,2025-03-04,midday,417,12,3,2025-07-01 17:09:41
22696,2025-03-04,evening,878,23,5,2025-07-01 17:09:41
22693,2025-03-03,midday,936,18,9,2025-07-01 17:09:41
22694,2025-03-03,evening,013,4,4,2025-07-01 17:09:41
22692,2025-03-02,midday,664,16,7,2025-07-01 17:09:41
22691,2025-03-02,evening,608,14,5,2025-07-01 17:09:41
22690,2025-03-01,midday,214,7,7,2025-07-01 17:09:41
22689,2025-03-01,evening,882,18,9,2025-07-01 17:09:41
22687,2025-02-28,midday,564,15,6,2025-07-01 17:09:41
22688,2025-02-28,evening,604,10,1,2025-07-01 17:09:41
22685,2025-02-27,midday,857,20,2,2025-07-01 17:09:41
22686,2025-02-27,evening,751,13,4,2025-07-01 17:09:41
22683,2025-02-26,midday,566,17,8,2025-07-01 17:09:41
22684,2025-02-26,evening,715,13,4,2025-07-01 17:09:41
22681,2025-02-25,midday,123,6,6,2025-07-01 17:09:41
22682,2025-02-25,evening,987,24,6,2025-07-01 17:09:41
22679,2025-02-24,midday,494,17,8,2025-07-01 17:09:41
22680,2025-02-24,evening,670,13,4,2025-07-01 17:09:41
22677,2025-02-23,midday,726,15,6,2025-07-01 17:09:41
22678,2025-02-23,evening,900,9,9,2025-07-01 17:09:41
22676,2025-02-22,midday,300,3,3,2025-07-01 17:09:41
22675,2025-02-22,evening,616,13,4,2025-07-01 17:09:41
22673,2025-02-21,midday,222,6,6,2025-07-01 17:09:41
22674,2025-02-21,evening,591,15,6,2025-07-01 17:09:41
22672,2025-02-20,midday,713,11,2,2025-07-01 17:09:41
22671,2025-02-20,evening,674,17,8,2025-07-01 17:09:41
22669,2025-02-19,midday,706,13,4,2025-07-01 17:09:41
22670,2025-02-19,evening,416,11,2,2025-07-01 17:09:41
22667,2025-02-18,midday,831,12,3,2025-07-01 17:09:41
22668,2025-02-18,evening,767,20,2,2025-07-01 17:09:41
22665,2025-02-17,midday,534,12,3,2025-07-01 17:09:41
22666,2025-02-17,evening,099,18,9,2025-07-01 17:09:41
22664,2025-02-16,midday,311,5,5,2025-07-01 17:09:41
22663,2025-02-16,evening,526,13,4,2025-07-01 17:09:41
22661,2025-02-15,midday,582,15,6,2025-07-01 17:09:41
22662,2025-02-15,evening,203,5,5,2025-07-01 17:09:41
22659,2025-02-14,midday,197,17,8,2025-07-01 17:09:41
22660,2025-02-14,evening,932,14,5,2025-07-01 17:09:41
22657,2025-02-13,midday,876,21,3,2025-07-01 17:09:41
22658,2025-02-13,evening,801,9,9,2025-07-01 17:09:41
22655,2025-02-12,midday,325,10,1,2025-07-01 17:09:41
22656,2025-02-12,evening,451,10,1,2025-07-01 17:09:41
22653,2025-02-11,midday,025,7,7,2025-07-01 17:09:41
22654,2025-02-11,evening,744,15,6,2025-07-01 17:09:41
22651,2025-02-10,midday,382,13,4,2025-07-01 17:09:41
22652,2025-02-10,evening,480,12,3,2025-07-01 17:09:41
22649,2025-02-09,midday,870,15,6,2025-07-01 17:09:41
22650,2025-02-09,evening,218,11,2,2025-07-01 17:09:41
22648,2025-02-08,midday,291,12,3,2025-07-01 17:09:41
22647,2025-02-08,evening,828,18,9,2025-07-01 17:09:41
22646,2025-02-07,midday,299,20,2,2025-07-01 17:09:41
22645,2025-02-07,evening,571,13,4,2025-07-01 17:09:41
22643,2025-02-06,midday,584,17,8,2025-07-01 17:09:41
22644,2025-02-06,evening,667,19,1,2025-07-01 17:09:41
22641,2025-02-05,midday,032,5,5,2025-07-01 17:09:41
22642,2025-02-05,evening,940,13,4,2025-07-01 17:09:41
22639,2025-02-04,midday,003,3,3,2025-07-01 17:09:41
22640,2025-02-04,evening,605,11,2,2025-07-01 17:09:41
22637,2025-02-03,midday,869,23,5,2025-07-01 17:09:41
22638,2025-02-03,evening,408,12,3,2025-07-01 17:09:41
22635,2025-02-02,midday,174,12,3,2025-07-01 17:09:41
22636,2025-02-02,evening,991,19,1,2025-07-01 17:09:41
22633,2025-02-01,midday,696,21,3,2025-07-01 17:09:41
22634,2025-02-01,evening,852,15,6,2025-07-01 17:09:41
22632,2025-01-31,midday,701,8,8,2025-07-01 17:09:41
22631,2025-01-31,evening,331,7,7,2025-07-01 17:09:41
22629,2025-01-30,midday,991,19,1,2025-07-01 17:09:41
22630,2025-01-30,evening,568,19,1,2025-07-01 17:09:41
22628,2025-01-29,midday,113,5,5,2025-07-01 17:09:41
22627,2025-01-29,evening,568,19,1,2025-07-01 17:09:41
22625,2025-01-28,midday,537,15,6,2025-07-01 17:09:41
22626,2025-01-28,evening,207,9,9,2025-07-01 17:09:41
22623,2025-01-27,midday,553,13,4,2025-07-01 17:09:41
22624,2025-01-27,evening,643,13,4,2025-07-01 17:09:41
22621,2025-01-26,midday,715,13,4,2025-07-01 17:09:41
22622,2025-01-26,evening,953,17,8,2025-07-01 17:09:41
22619,2025-01-25,midday,349,16,7,2025-07-01 17:09:41
22620,2025-01-25,evening,539,17,8,2025-07-01 17:09:41
22617,2025-01-24,midday,260,8,8,2025-07-01 17:09:41
22618,2025-01-24,evening,168,15,6,2025-07-01 17:09:41
22616,2025-01-23,midday,047,11,2,2025-07-01 17:09:41
22615,2025-01-23,evening,074,11,2,2025-07-01 17:09:41
22614,2025-01-22,midday,648,18,9,2025-07-01 17:09:41
22613,2025-01-22,evening,817,16,7,2025-07-01 17:09:41
22611,2025-01-21,midday,121,4,4,2025-07-01 17:09:41
22612,2025-01-21,evening,096,15,6,2025-07-01 17:09:41
22609,2025-01-20,midday,184,13,4,2025-07-01 17:09:41
22610,2025-01-20,evening,915,15,6,2025-07-01 17:09:41
22607,2025-01-19,midday,952,16,7,2025-07-01 17:09:41
22608,2025-01-19,evening,283,13,4,2025-07-01 17:09:41
22605,2025-01-18,midday,008,8,8,2025-07-01 17:09:41
22606,2025-01-18,evening,583,16,7,2025-07-01 17:09:41
22603,2025-01-17,midday,945,18,9,2025-07-01 17:09:41
22604,2025-01-17,evening,918,18,9,2025-07-01 17:09:41
22601,2025-01-16,midday,665,17,8,2025-07-01 17:09:41
22602,2025-01-16,evening,169,16,7,2025-07-01 17:09:41
22599,2025-01-15,midday,156,12,3,2025-07-01 17:09:41
22600,2025-01-15,evening,118,10,1,2025-07-01 17:09:41
22597,2025-01-14,midday,746,17,8,2025-07-01 17:09:41
22598,2025-01-14,evening,511,7,7,2025-07-01 17:09:41
22595,2025-01-13,midday,098,17,8,2025-07-01 17:09:41
22596,2025-01-13,evening,909,18,9,2025-07-01 17:09:41
22594,2025-01-12,midday,065,11,2,2025-07-01 17:09:41
22593,2025-01-12,evening,885,21,3,2025-07-01 17:09:41
22592,2025-01-11,midday,940,13,4,2025-07-01 17:09:41
22591,2025-01-11,evening,238,13,4,2025-07-01 17:09:41
22590,2025-01-10,midday,878,23,5,2025-07-01 17:09:41
22589,2025-01-10,evening,728,17,8,2025-07-01 17:09:41
22587,2025-01-09,midday,375,15,6,2025-07-01 17:09:41
22588,2025-01-09,evening,516,12,3,2025-07-01 17:09:41
22585,2025-01-08,midday,712,10,1,2025-07-01 17:09:41
22586,2025-01-08,evening,931,13,4,2025-07-01 17:09:41
22583,2025-01-07,midday,261,9,9,2025-07-01 17:09:41
22584,2025-01-07,evening,392,14,5,2025-07-01 17:09:41
22582,2025-01-06,midday,789,24,6,2025-07-01 17:09:41
22581,2025-01-06,evening,250,7,7,2025-07-01 17:09:41
22580,2025-01-05,midday,671,14,5,2025-07-01 17:09:41
22579,2025-01-05,evening,194,14,5,2025-07-01 17:09:41
22577,2025-01-04,midday,723,12,3,2025-07-01 17:09:41
22578,2025-01-04,evening,966,21,3,2025-07-01 17:09:41
22575,2025-01-03,midday,659,20,2,2025-07-01 17:09:41
22576,2025-01-03,evening,844,16,7,2025-07-01 17:09:41
22573,2025-01-02,midday,975,21,3,2025-07-01 17:09:41
22574,2025-01-02,evening,472,13,4,2025-07-01 17:09:41
22571,2025-01-01,midday,463,13,4,2025-07-01 17:09:41
22572,2025-01-01,evening,180,9,9,2025-07-01 17:09:41
22570,2024-12-31,midday,616,13,4,2025-07-01 17:09:41
22569,2024-12-31,evening,535,13,4,2025-07-01 17:09:41
22567,2024-12-30,midday,505,10,1,2025-07-01 17:09:41
22568,2024-12-30,evening,052,7,7,2025-07-01 17:09:41
22565,2024-12-29,midday,631,10,1,2025-07-01 17:09:41
22566,2024-12-29,evening,930,12,3,2025-07-01 17:09:41
22564,2024-12-28,midday,456,15,6,2025-07-01 17:09:41
22563,2024-12-28,evening,041,5,5,2025-07-01 17:09:41
22561,2024-12-27,midday,842,14,5,2025-07-01 17:09:41
22562,2024-12-27,evening,488,20,2,2025-07-01 17:09:41
22559,2024-12-26,midday,435,12,3,2025-07-01 17:09:41
22560,2024-12-26,evening,129,12,3,2025-07-01 17:09:41
22557,2024-12-24,midday,195,15,6,2025-07-01 17:09:41
22558,2024-12-24,evening,461,11,2,2025-07-01 17:09:41
22555,2024-12-23,midday,472,13,4,2025-07-01 17:09:41
22556,2024-12-23,evening,850,13,4,2025-07-01 17:09:41
22554,2024-12-22,midday,834,15,6,2025-07-01 17:09:41
22553,2024-12-22,evening,938,20,2,2025-07-01 17:09:41
22552,2024-12-21,midday,617,14,5,2025-07-01 17:09:41
22551,2024-12-21,evening,936,18,9,2025-07-01 17:09:41
22549,2024-12-20,midday,053,8,8,2025-07-01 17:09:41
22550,2024-12-20,evening,478,19,1,2025-07-01 17:09:41
22547,2024-12-19,midday,546,15,6,2025-07-01 17:09:41
22548,2024-12-19,evening,083,11,2,2025-07-01 17:09:41
22546,2024-12-18,midday,224,8,8,2025-07-01 17:09:41
22545,2024-12-18,evening,574,16,7,2025-07-01 17:09:41
22543,2024-12-17,midday,061,7,7,2025-07-01 17:09:41
22544,2024-12-17,evening,439,16,7,2025-07-01 17:09:41
22541,2024-12-16,midday,030,3,3,2025-07-01 17:09:41
22542,2024-12-16,evening,343,10,1,2025-07-01 17:09:41
22539,2024-12-15,midday,812,11,2,2025-07-01 17:09:41
22540,2024-12-15,evening,345,12,3,2025-07-01 17:09:41
22537,2024-12-14,midday,991,19,1,2025-07-01 17:09:41
22538,2024-12-14,evening,441,9,9,2025-07-01 17:09:41
22535,2024-12-13,midday,136,10,1,2025-07-01 17:09:41
22536,2024-12-13,evening,962,17,8,2025-07-01 17:09:41
22534,2024-12-12,midday,136,10,1,2025-07-01 17:09:41
22533,2024-12-12,evening,650,11,2,2025-07-01 17:09:41
22532,2024-12-11,midday,598,22,4,2025-07-01 17:09:41
22531,2024-12-11,evening,303,6,6,2025-07-01 17:09:41
22529,2024-12-10,midday,228,12,3,2025-07-01 17:09:41
22530,2024-12-10,evening,077,14,5,2025-07-01 17:09:41
22527,2024-12-09,midday,485,17,8,2025-07-01 17:09:41
22528,2024-12-09,evening,819,18,9,2025-07-01 17:09:41
22526,2024-12-08,midday,169,16,7,2025-07-01 17:09:41
22525,2024-12-08,evening,893,20,2,2025-07-01 17:09:41
22523,2024-12-07,midday,945,18,9,2025-07-01 17:09:41
22524,2024-12-07,evening,563,14,5,2025-07-01 17:09:41
22521,2024-12-06,midday,133,7,7,2025-07-01 17:09:41
22522,2024-12-06,evening,997,25,7,2025-07-01 17:09:41
22519,2024-12-05,midday,373,13,4,2025-07-01 17:09:41
22520,2024-12-05,evening,755,17,8,2025-07-01 17:09:41
22517,2024-12-04,midday,689,23,5,2025-07-01 17:09:41
22518,2024-12-04,evening,453,12,3,2025-07-01 17:09:41
22516,2024-12-03,midday,570,12,3,2025-07-01 17:09:41
22515,2024-12-03,evening,078,15,6,2025-07-01 17:09:41
22514,2024-12-02,midday,785,20,2,2025-07-01 17:09:41
22513,2024-12-02,evening,703,10,1,2025-07-01 17:09:41
22511,2024-12-01,midday,320,5,5,2025-07-01 17:09:41
22512,2024-12-01,evening,885,21,3,2025-07-01 17:09:41
22509,2024-11-30,midday,596,20,2,2025-07-01 17:09:41
22510,2024-11-30,evening,119,11,2,2025-07-01 17:09:41
22508,2024-11-29,midday,683,17,8,2025-07-01 17:09:41
22507,2024-11-29,evening,931,13,4,2025-07-01 17:09:41
22505,2024-11-28,midday,771,15,6,2025-07-01 17:09:41
22506,2024-11-28,evening,036,9,9,2025-07-01 17:09:41
22503,2024-11-27,midday,901,10,1,2025-07-01 17:09:41
22504,2024-11-27,evening,945,18,9,2025-07-01 17:09:41
22501,2024-11-26,midday,245,11,2,2025-07-01 17:09:41
22502,2024-11-26,evening,073,10,1,2025-07-01 17:09:41
22499,2024-11-25,midday,685,19,1,2025-07-01 17:09:41
22500,2024-11-25,evening,607,13,4,2025-07-01 17:09:41
22497,2024-11-24,midday,429,15,6,2025-07-01 17:09:41
22498,2024-11-24,evening,277,16,7,2025-07-01 17:09:41
22495,2024-11-23,midday,053,8,8,2025-07-01 17:09:41
22496,2024-11-23,evening,118,10,1,2025-07-01 17:09:41
22494,2024-11-22,midday,613,10,1,2025-07-01 17:09:41
22493,2024-11-22,evening,319,13,4,2025-07-01 17:09:41
22492,2024-11-21,midday,707,14,5,2025-07-01 17:09:41
